date,ticker,LAST_PRICE,sector
1971-07-20,SPX,99.32,Index
1971-07-21,SPX,99.28,Index
1971-07-22,SPX,99.11,Index
1971-07-23,SPX,98.94,Index
1971-07-26,SPX,98.67,Index
1971-07-27,SPX,97.78,Index
1971-07-28,SPX,97.07,Index
1971-07-29,SPX,96.02,Index
1971-07-30,SPX,95.58,Index
1971-08-02,SPX,95.96,Index
1971-08-03,SPX,94.51,Index
1971-08-04,SPX,93.89,Index
1971-08-05,SPX,94.09,Index
1971-08-06,SPX,94.25,Index
1971-08-09,SPX,93.53,Index
1971-08-10,SPX,93.54,Index
1971-08-11,SPX,94.66,Index
1971-08-12,SPX,96,Index
1971-08-13,SPX,95.69,Index
1971-08-16,SPX,98.76,Index
1971-08-17,SPX,99.99,Index
1971-08-18,SPX,98.6,Index
1971-08-19,SPX,98.16,Index
1971-08-20,SPX,98.33,Index
1971-08-23,SPX,99.34,Index
1971-08-24,SPX,100.4,Index
1971-08-25,SPX,100.41,Index
1971-08-26,SPX,100.24,Index
1971-08-27,SPX,100.48,Index
1971-08-30,SPX,99.52,Index
1971-08-31,SPX,99.03,Index
1971-09-01,SPX,99.07,Index
1971-09-02,SPX,99.29,Index
1971-09-03,SPX,100.69,Index
1971-09-07,SPX,101.15,Index
1971-09-08,SPX,101.34,Index
1971-09-09,SPX,100.8,Index
1971-09-10,SPX,100.42,Index
1971-09-13,SPX,100.07,Index
1971-09-14,SPX,99.34,Index
1971-09-15,SPX,99.77,Index
1971-09-16,SPX,99.66,Index
1971-09-17,SPX,99.96,Index
1971-09-20,SPX,99.68,Index
1971-09-21,SPX,99.34,Index
1971-09-22,SPX,98.47,Index
1971-09-23,SPX,98.38,Index
1971-09-24,SPX,98.15,Index
1971-09-27,SPX,97.62,Index
1971-09-28,SPX,97.88,Index
1971-09-29,SPX,97.9,Index
1971-09-30,SPX,98.34,Index
1971-10-01,SPX,98.93,Index
1971-10-04,SPX,99.21,Index
1971-10-05,SPX,99.11,Index
1971-10-06,SPX,99.82,Index
1971-10-07,SPX,100.02,Index
1971-10-08,SPX,99.36,Index
1971-10-11,SPX,99.16,Index
1971-10-12,SPX,99.57,Index
1971-10-13,SPX,99.03,Index
1971-10-14,SPX,98.13,Index
1971-10-15,SPX,97.79,Index
1971-10-18,SPX,97.35,Index
1971-10-19,SPX,97,Index
1971-10-20,SPX,95.65,Index
1971-10-21,SPX,95.6,Index
1971-10-22,SPX,95.51,Index
1971-10-25,SPX,95.1,Index
1971-10-26,SPX,94.74,Index
1971-10-27,SPX,93.79,Index
1971-10-28,SPX,93.96,Index
1971-10-29,SPX,94.23,Index
1971-11-01,SPX,92.8,Index
1971-11-02,SPX,93.18,Index
1971-11-03,SPX,94.91,Index
1971-11-04,SPX,94.79,Index
1971-11-05,SPX,94.46,Index
1971-11-08,SPX,94.39,Index
1971-11-09,SPX,94.46,Index
1971-11-10,SPX,93.41,Index
1971-11-11,SPX,92.12,Index
1971-11-12,SPX,92.12,Index
1971-11-15,SPX,91.81,Index
1971-11-16,SPX,92.71,Index
1971-11-17,SPX,92.85,Index
1971-11-18,SPX,92.13,Index
1971-11-19,SPX,91.61,Index
1971-11-22,SPX,90.79,Index
1971-11-23,SPX,90.16,Index
1971-11-24,SPX,90.33,Index
1971-11-26,SPX,91.94,Index
1971-11-29,SPX,93.41,Index
1971-11-30,SPX,93.99,Index
1971-12-01,SPX,95.54,Index
1971-12-02,SPX,95.84,Index
1971-12-03,SPX,97.06,Index
1971-12-06,SPX,96.51,Index
1971-12-07,SPX,96.87,Index
1971-12-08,SPX,96.92,Index
1971-12-09,SPX,96.96,Index
1971-12-10,SPX,97.69,Index
1971-12-13,SPX,97.91,Index
1971-12-14,SPX,97.67,Index
1971-12-15,SPX,98.54,Index
1971-12-16,SPX,99.74,Index
1971-12-17,SPX,100.26,Index
1971-12-20,SPX,101.55,Index
1971-12-21,SPX,101.8,Index
1971-12-22,SPX,101.18,Index
1971-12-23,SPX,100.74,Index
1971-12-27,SPX,100.95,Index
1971-12-28,SPX,101.95,Index
1971-12-29,SPX,102.21,Index
1971-12-30,SPX,101.78,Index
1971-12-31,SPX,102.09,Index
1972-01-03,SPX,101.67,Index
1972-01-04,SPX,102.09,Index
1972-01-05,SPX,103.07,Index
1972-01-06,SPX,103.51,Index
1972-01-07,SPX,103.47,Index
1972-01-10,SPX,103.32,Index
1972-01-11,SPX,103.65,Index
1972-01-12,SPX,103.59,Index
1972-01-13,SPX,102.99,Index
1972-01-14,SPX,103.39,Index
1972-01-17,SPX,103.7,Index
1972-01-18,SPX,104.05,Index
1972-01-19,SPX,103.88,Index
1972-01-20,SPX,103.88,Index
1972-01-21,SPX,103.65,Index
1972-01-24,SPX,102.57,Index
1972-01-25,SPX,102.78,Index
1972-01-26,SPX,102.5,Index
1972-01-27,SPX,103.5,Index
1972-01-28,SPX,104.16,Index
1972-01-31,SPX,103.94,Index
1972-02-01,SPX,104.01,Index
1972-02-02,SPX,104.68,Index
1972-02-03,SPX,104.64,Index
1972-02-04,SPX,104.86,Index
1972-02-07,SPX,104.54,Index
1972-02-08,SPX,104.74,Index
1972-02-09,SPX,105.55,Index
1972-02-10,SPX,105.59,Index
1972-02-11,SPX,105.08,Index
1972-02-14,SPX,104.59,Index
1972-02-15,SPX,105.03,Index
1972-02-16,SPX,105.62,Index
1972-02-17,SPX,105.59,Index
1972-02-18,SPX,105.28,Index
1972-02-22,SPX,105.29,Index
1972-02-23,SPX,105.38,Index
1972-02-24,SPX,105.45,Index
1972-02-25,SPX,106.18,Index
1972-02-28,SPX,106.19,Index
1972-02-29,SPX,106.57,Index
1972-03-01,SPX,107.35,Index
1972-03-02,SPX,107.32,Index
1972-03-03,SPX,107.94,Index
1972-03-06,SPX,108.77,Index
1972-03-07,SPX,108.87,Index
1972-03-08,SPX,108.96,Index
1972-03-09,SPX,108.94,Index
1972-03-10,SPX,108.37,Index
1972-03-13,SPX,107.33,Index
1972-03-14,SPX,107.61,Index
1972-03-15,SPX,107.75,Index
1972-03-16,SPX,107.5,Index
1972-03-17,SPX,107.92,Index
1972-03-20,SPX,107.59,Index
1972-03-21,SPX,106.69,Index
1972-03-22,SPX,106.84,Index
1972-03-23,SPX,107.75,Index
1972-03-24,SPX,107.52,Index
1972-03-27,SPX,107.3,Index
1972-03-28,SPX,107.17,Index
1972-03-29,SPX,106.49,Index
1972-03-30,SPX,107.2,Index
1972-04-03,SPX,107.48,Index
1972-04-04,SPX,108.12,Index
1972-04-05,SPX,109,Index
1972-04-06,SPX,109.42,Index
1972-04-07,SPX,109.62,Index
1972-04-10,SPX,109.45,Index
1972-04-11,SPX,109.76,Index
1972-04-12,SPX,110.18,Index
1972-04-13,SPX,109.91,Index
1972-04-14,SPX,109.84,Index
1972-04-17,SPX,109.51,Index
1972-04-18,SPX,109.77,Index
1972-04-19,SPX,109.2,Index
1972-04-20,SPX,109.04,Index
1972-04-21,SPX,108.89,Index
1972-04-24,SPX,108.19,Index
1972-04-25,SPX,107.12,Index
